id,name_zh,name_en,index_year,cluster,dynasty_zh,bureau_type,bureau_zh,is_high_official,has_civil_exam,has_yin_privilege,has_recommendation,has_technical_exam,has_geo,x_coord,y_coord,addr_name_chn,bureau_astronomical,bureau_medical,bureau_hydraulic,bureau_military_industrial,bureau_construction,degree,clustering,eigenvector,betweenness,degree_z,clustering_z,eigenvector_z,betweenness_z,x_coord_z,y_coord_z
51303,鄭璹,Zheng Shu,1223,cluster1_song_and_before,宋,military_industrial,军器/制造,0,1,0,0,0,1,119.219635,29.369589,壽昌,0,0,0,1,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.697264732027363,-0.6811522017724536
51502,歐陽廻,Ouyang Hui,896,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,104.077995,30.650385,華陽,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,-2.6847198846384606,-0.32086848069743024
51653,樂備,Yue Bei,1124,cluster1_song_and_before,宋,military_industrial,军器/制造,0,1,0,0,0,0,,,,0,0,0,1,0,5,1.0,0.0022037611453714343,0.0,-0.3540873438473538,1.5173807213961439,-0.25782082138457363,-0.15247069472655322,-3.174087617753835e-15,-1.9987334503111837e-15
51671,滕世寧,Teng Shining,942,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,119.106499,36.702705,北海,0,0,0,0,0,2,1.0,8.214785971249928e-33,0.0,-0.42161268581297245,1.5173807213961439,-0.3886753035554917,-0.15247069472655322,0.6719950643037151,1.381629318122045
51675,練定,Lian Ding,1033,cluster1_song_and_before,宋,construction,将作/营缮,0,1,0,0,0,1,118.536255,27.924686,浦城,0,0,0,0,1,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.5446273263475893,-1.0875986846100525
51763,劉晟,Liu Sheng,957,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,115.657387,39.019436,徐州,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,-0.09838672559206188,2.0333181627232615
51858,劉騭,Liu Zhi,955,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,112.518746,27.737248,湘鄉,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,-0.7994227810812072,-1.1403243802796676
51873,劉夔,Liu Kui,982,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,118.026779,27.756025,崇安,0,0,0,0,0,3,0.6666666666666666,0.000847324569667679,3.170893963697672e-08,-0.3991042384910996,0.6986802824743514,-0.33836303717061883,-0.1524467922348045,0.4308325198034889,-1.1350424716614131
51911,劉天定,Liu Tianding,1205,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,114.971275,27.103239,廬陵,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,-0.251634341392583,-1.318669036036756
51963,劉良貴,Liu Lianggui,1211,cluster1_song_and_before,宋,construction,将作/营缮,0,1,0,0,0,1,120.65322113,28.018291473,溫州,0,0,0,0,1,4,1.0,0.000783856684007452,0.0,-0.3765957911692267,1.5173807213961439,-0.3421316204084145,-0.15247069472655322,1.0174655978731713,-1.061267771548622
