source,target,weight
1450,1537,1
1450,3351,1
1450,3484,1
1450,4067,1
1450,7323,1
1450,18655,1
1450,27005,1
1450,27007,1
1450,27019,1
1453,1595,1
1453,1762,1
1453,3484,1
1453,7011,1
1455,700465,1
1455,700520,1
1462,20977,1
1464,8116,1
1486,1488,1
1486,8109,1
1488,1571,1
1488,1615,1
1488,1762,1
1488,1835,1
1488,1844,1
1488,1847,1
1488,2022,1
1488,2082,1
1488,2123,1
1488,3700,1
1488,3718,1
1488,3977,1
1488,4001,1
1488,4175,1
1488,7053,1
1488,7109,1
1488,8165,1
1488,11135,1
1488,17743,1
1488,19149,1
1488,20221,1
1488,21226,1
1489,1762,1
1490,8153,1
1491,1496,1
1491,19178,1
1502,1730,1
1531,1762,1
1531,12319,1
1532,1538,1
1537,3461,1
1552,1877,1
1555,8116,1
1558,1617,1
1558,1730,1
1558,1847,1
1558,3180,1
1558,3528,1
1558,3802,1
1558,3810,1
1558,4153,1
1558,7042,1
1558,8165,1
1571,1762,1
1571,4001,1
1571,8116,1
1571,13810,1
1591,11800,1
1595,1600,1
1600,7109,1
1600,17872,1
1615,7097,1
1615,21610,1
1615,46425,1
1617,1762,1
1617,3313,1
1634,1635,1
1634,3842,1
1635,1762,1
1635,4001,1
1635,8116,1
1653,1661,1
1653,12110,1
1658,1957,1
1658,12104,1
1661,3957,1
1662,1954,1
1668,10566,1
1679,21810,1
1722,1762,1
1722,8116,1
1730,3957,1
1730,4001,1
1730,8116,1
1730,10681,1
1730,26373,1
1730,27057,1
1732,12319,1
1762,1844,1
1762,1847,1
1762,1957,1
1762,2007,1
1762,2026,1
1762,2032,1
1762,2112,1
1762,3013,1
1762,3307,1
1762,3484,1
1762,3505,1
1762,3739,1
1762,3941,1
1762,4001,1
1762,7053,1
1762,7099,1
1762,7239,1
1762,7240,1
1762,7323,1
1762,8016,1
1762,8033,1
1762,8109,1
1762,10178,1
1762,10565,1
1762,10566,1
1762,11135,1
1762,11247,1
1762,11337,1
1762,12319,1
1762,13378,1
1762,14074,1
1762,16173,1
1762,16667,1
1762,17517,1
1762,18268,1
1762,18644,1
1762,19611,1
1762,20849,1
1762,21429,1
1762,22199,1
1762,25459,1
1762,27078,1
1762,27762,1
1762,40169,1
1762,42396,1
1762,45682,1
1762,45771,1
1767,3941,1
1773,8150,1
1804,1844,1
1804,22250,1
1824,17355,1
1828,1877,1
1829,8116,1
1844,1891,1
1844,13378,1
1844,22250,1
1847,3718,1
1847,4001,1
1847,22236,1
1847,43532,1
1877,3977,1
1881,3325,1
1881,7042,1
1881,8153,1
1881,12319,1
1882,699695,1
1884,19699,1
1885,3638,1
1885,8006,1
1885,8116,1
1895,13378,1
1903,8150,1
1903,690127,1
1936,11800,1
1942,27019,1
1945,1949,1
1945,4205,1
1945,7390,1
1949,7390,1
1952,7391,1
1955,2022,1
1955,19699,1
1967,8090,1
1967,13378,1
1967,37916,1
1996,4001,1
2001,2022,1
2008,7097,1
2015,7097,1
2022,2034,1
2022,13712,1
2022,19699,1
2022,22000,1
2022,22849,1
2032,8116,1
2058,10566,1
2058,11146,1
2085,8016,1
2112,3381,1
2112,4153,1
2112,8116,1
2126,21637,1
3012,3997,1
3012,8001,1
3012,13518,1
3080,3709,1
3080,14207,1
3088,4001,1
3090,7109,1
3130,3915,1
3130,11605,1
3130,22451,1
3130,31407,1
3299,11284,1
3343,17394,1
3356,13378,1
3364,10565,1
3484,7059,1
3484,21169,1
3501,19149,1
3502,3675,1
3504,3505,1
3504,22072,1
3505,12319,1
3528,8049,1
3533,10566,1
3591,4001,1
3591,19123,1
3604,18336,1
3608,144863,1
3634,4007,1
3634,4042,1
3634,18165,1
3638,20498,1
3709,8116,1
3709,18395,1
3718,4001,1
3718,43532,1
3725,14973,1
3735,20885,1
3739,8109,1
3739,512631,1
3838,13378,1
3842,45771,1
3856,7069,1
3915,15353,1
3915,31498,1
3915,31552,1
3915,32175,1
3915,32248,1
3915,92866,1
3915,95071,1
3915,194998,1
3941,7059,1
3941,15706,1
3941,22250,1
3957,15706,1
3977,13674,1
3977,43532,1
3997,8074,1
3997,8116,1
3997,8153,1
3997,15848,1
3997,17917,1
4001,7097,1
4001,8165,1
4001,10831,1
4001,10892,1
4001,10895,1
4001,11062,1
4001,12072,1
4001,13258,1
4001,13810,1
4001,13845,1
4001,13855,1
4001,14834,1
4001,16040,1
4001,18954,1
4001,20932,1
4001,24324,1
4001,24710,1
4001,26428,1
4001,38648,1
4001,40916,1
4001,46608,1
4118,12351,1
4153,17730,1
4153,570923,1
4207,7097,1
4207,8165,1
7042,7097,1
7053,15884,1
7059,13243,1
7059,22072,1
7070,7358,1
7097,8153,1
7097,11800,1
7097,12941,1
7097,12944,1
7097,13312,1
7097,22072,1
7097,46640,1
7108,18731,1
7279,699428,1
7317,19611,1
7358,17730,1
7390,15617,1
8006,46642,1
