mpnet_id,id,name_zh,cluster,degree,betweenness,clustering,eigenvector,cluster1_song_and_before,cluster2_yuan_ming,cluster3_qing_after
589,10759,岳珂,cluster1_song_and_before,60,0.0004879064032339759,0.5067796610169492,0.01724432796839351,1,0,0
590,10831,李心傳,cluster1_song_and_before,102,0.00019963712076177548,0.46476412347117063,0.03375417869064376,1,0,0
591,10890,陳守,cluster1_song_and_before,70,0.000408859767182187,0.6140786749482402,0.024674898643044826,1,0,0
592,10892,陳宓,cluster1_song_and_before,135,0.0009882504760453726,0.37722498618021005,0.04060826144664298,1,0,0
593,10895,陳增,cluster1_song_and_before,66,1.8444622376920256e-05,0.6713286713286714,0.02472703709892407,1,0,0
594,10902,鄭逢辰,cluster1_song_and_before,47,0.00024572153772428195,0.7335800185013877,0.015884517404074157,1,0,0
595,10935,留元英,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
596,11062,楊汝明,cluster1_song_and_before,41,3.751217865824603e-05,0.8902439024390244,0.01625468140478007,1,0,0
597,11135,余象,cluster1_song_and_before,165,0.0003278086463825998,0.473540280857354,0.07559616403654432,1,0,0
598,11146,葉棠,cluster1_song_and_before,3,1.610809636228316e-07,0.6666666666666666,0.001986480173508972,1,0,0
599,11236,方龜年,cluster1_song_and_before,2,0.0,1.0,0.001187947106332531,1,0,0
600,11247,方惟深,cluster1_song_and_before,91,0.00010066137119813831,0.8471306471306471,0.049833751205840555,1,0,0
601,11284,方旬,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
602,11337,薛利和,cluster1_song_and_before,83,0.0,1.0,0.049168761689557326,1,0,0
603,11372,豐稷,cluster1_song_and_before,99,0.00019789055417696237,0.46485260770975056,0.03751512592849067,1,0,0
604,11384,郭琪,cluster1_song_and_before,24,0.0,1.0,0.011144988161719901,1,0,0
605,11404,黃艾,cluster1_song_and_before,48,0.0,1.0,0.02157714250987527,1,0,0
606,11428,方會,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
607,11450,林栗,cluster1_song_and_before,92,0.00014976071233541364,0.5100334448160535,0.03097765814292251,1,0,0
608,11516,石中孚,cluster1_song_and_before,2,0.0,1.0,0.0009501742281983239,1,0,0
609,11538,潘衢,cluster1_song_and_before,1,0.0,0.0,9.818705068535077e-05,1,0,0
610,11547,劉若虛,cluster1_song_and_before,32,0.0001993816199735358,0.657258064516129,0.01218607045495052,1,0,0
