mpnet_id,id,name_zh,cluster,degree,betweenness,clustering,eigenvector,cluster1_song_and_before,cluster2_yuan_ming,cluster3_qing_after
328,1773,王詔,cluster1_song_and_before,1,0.0,0.0,1.2214683322293895e-20,1,0,0
329,1776,王軫,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
330,1777,王濟,cluster1_song_and_before,2,5.232154524665142e-05,0.0,0.006796809451494719,1,0,0
331,1789,王兢,cluster1_song_and_before,2,0.00043729234207768843,0.0,0.00594902883938974,1,0,0
332,1790,王覺,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
333,1804,王扶,cluster1_song_and_before,2,0.0,1.0,0.010460966796539585,1,0,0
334,1807,凌景夏,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
335,1813,王晞亮,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
336,1814,王夏,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
337,1820,王㬇,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
338,1821,王誨,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
339,1822,王會,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
340,1824,王繹,cluster1_song_and_before,1,0.0,0.0,7.50330558788574e-25,1,0,0
341,1828,王益柔,cluster1_song_and_before,2,6.237764027159261e-06,0.0,0.017437576534247105,1,0,0
342,1829,王貽永,cluster1_song_and_before,1,0.0,0.0,0.011418007655216066,1,0,0
343,1834,王克臣,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
344,1835,王逵,cluster1_song_and_before,1,0.0,0.0,0.026108982656436113,1,0,0
345,1840,王古,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
346,1844,王廣淵,cluster1_song_and_before,7,0.000559085170656127,0.2857142857142857,0.09460651390224177,1,0,0
347,1846,王珪,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
348,1847,王拱辰,cluster1_song_and_before,11,0.0008884054536761897,0.2727272727272727,0.1511984530287093,1,0,0
349,1851,王令圖,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
350,1852,王綸,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
351,1867,王森,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
352,1872,王師心,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
353,1873,王世修,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
354,1875,王時雍,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
355,1877,王曙,cluster1_song_and_before,4,5.6801329364787675e-05,0.0,0.019441193986871406,1,0,0
356,1881,王素,cluster1_song_and_before,6,0.00010631065288222347,0.0,0.031558848820998193,1,0,0
357,1882,王隨,cluster1_song_and_before,2,2.7436907873244033e-05,0.0,0.0028680291961943097,1,0,0
358,1883,王綯,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
359,1884,王鈇,cluster1_song_and_before,1,0.0,0.0,0.0009899039709508005,1,0,0
360,1885,王田,cluster1_song_and_before,5,0.000320484978270169,0.0,0.01469536902742165,1,0,0
361,1888,王同老,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
362,1891,王得君,cluster1_song_and_before,1,0.0,0.0,0.008236868909678419,1,0,0
363,1895,王鼎,cluster1_song_and_before,1,0.0,0.0,0.005847870761799363,1,0,0
364,1903,王鬷,cluster1_song_and_before,3,0.0,0.0,2.948884760984346e-20,1,0,0
365,1904,王宗望,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
366,1908,王次翁,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
367,1914,王綰,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
368,1924,王曮,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
369,1932,王俁,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
370,1936,王瀹,cluster1_song_and_before,1,0.0,0.0,0.0029996363525039704,1,0,0
371,1942,魏兼,cluster1_song_and_before,1,0.0,0.0,0.0001414367939382011,1,0,0
372,1945,魏瓘,cluster1_song_and_before,4,5.232154524665142e-05,0.5,0.0011683757055608458,1,0,0
373,1948,魏廷式,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
374,1949,魏羽,cluster1_song_and_before,3,0.0,1.0,0.0011602284958609186,1,0,0
375,1952,文保雍,cluster1_song_and_before,1,0.0,0.0,7.50330558788574e-25,1,0,0
376,1954,文永世,cluster1_song_and_before,2,0.0003866689807252532,0.0,0.002057359994309527,1,0,0
377,1955,翁挺,cluster1_song_and_before,2,0.0,1.0,0.005864123960616717,1,0,0
378,1957,吳安持,cluster1_song_and_before,3,0.0001620845606452077,0.0,0.045775504805695366,1,0,0
379,1967,吳中復,cluster1_song_and_before,3,5.232154524665142e-05,0.3333333333333333,0.006459195952655357,1,0,0
380,1981,吳栻,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
381,1988,吳黯,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
382,1995,楊晨,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
383,1996,楊椿,cluster1_song_and_before,1,0.0,0.0,0.01837893233793975,1,0,0
384,1998,楊汲,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
385,2001,楊迥,cluster1_song_and_before,1,0.0,0.0,0.004874219989665917,1,0,0
386,2007,楊繪,cluster1_song_and_before,1,0.0,0.0,0.04305271222744958,1,0,0
387,2008,楊紘,cluster1_song_and_before,1,0.0,0.0,0.003752672845860679,1,0,0
388,2014,楊康國,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
389,2015,楊可,cluster1_song_and_before,1,0.0,0.0,0.003752672845860679,1,0,0
390,2022,楊時,cluster1_song_and_before,12,0.000914616348251694,0.07575757575757576,0.05598410869170068,1,0,0
391,2025,楊倓,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
392,2026,楊畋,cluster1_song_and_before,1,0.0,0.0,0.04305271222744958,1,0,0
393,2027,楊挺,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
394,2032,楊畏,cluster1_song_and_before,5,0.0001755575872547433,0.5,0.08787910959751162,1,0,0
395,2034,楊矞,cluster1_song_and_before,1,0.0,0.0,0.004874219989665917,1,0,0
396,2035,楊淵,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
397,2036,楊愿,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
398,2058,葉顒,cluster1_song_and_before,2,5.178461945656837e-05,0.0,0.0062766224760321876,1,0,0
399,2064,嚴抑,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
400,2074,晏敦復,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
401,2081,游師雄,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
402,2082,俞充,cluster1_song_and_before,1,0.0,0.0,0.026108982656436113,1,0,0
403,2085,俞希孟,cluster1_song_and_before,1,0.0,0.0,0.005863433070140954,1,0,0
404,2086,俞希旦,cluster1_song_and_before,0,0.0,0.0,1.3975995756472907e-33,1,0,0
