cluster,cluster_label,valid_geo_nodes,k_neighbors,observed_morans_i,expected_morans_i,permutation_mean_i,permutation_sd_i,permutations,p_value_greater_equal,seed
cluster1_song_and_before,Song and before,1527,8,0.3326728225278324,-0.00036023054755043225,-0.0002924702698769325,0.008096427137330438,999,0.001,20260608
cluster2_yuan_ming,Yuan and Ming,998,8,0.26718346755343175,-0.00036023054755043225,-0.0001745425308966003,0.008177699605013841,999,0.001,20260608
cluster3_qing_after,Qing and after,252,8,0.24440515480119437,-0.00036023054755043225,0.0001331492186827968,0.008675543449762619,999,0.001,20260608
