cluster,cluster_label,total_nodes,share_of_all_nodes_pct,raw_geo_nodes,invalid_zero_coord_nodes,valid_geo_nodes,valid_geo_share_of_cluster_pct,centroid_x,centroid_y,x_min,x_max,y_min,y_max,x_std,y_std,standard_distance_km,mean_distance_to_centroid_km,median_distance_to_centroid_km,top_location
cluster1_song_and_before,Song and before,1613,52.6608,1527,0,1527,94.6683,115.35006361686969,32.27678237231958,94.6332,122.101097,22.526581,40.19804,4.2554152006579935,3.600870347332739,566.4312951660831,526.0983397987873,508.1231842410979,開封
cluster2_yuan_ming,Yuan and Ming,1020,33.3007,999,1,998,97.8431,117.16613321180361,31.0281434583006,103.830605,122.056686,19.70247,40.127552032,3.648051442094738,3.513497461252653,521.7757004710281,462.22608725651054,383.89785572344977,餘姚
cluster3_qing_after,Qing and after,430,14.0385,252,0,252,58.6047,116.85936161242064,31.995373671742065,100.16444397,123.4496,22.191947937,41.796033,4.408277672181598,4.305571794713331,635.8469812367849,555.5218704340358,434.3909491866706,歙縣
